URL,Detected,True/False Positive
http://moonbit.co.in/,"{u'Quttera': u'malicious site', u'DNS8': u'malicious site'}",True Positive
http://amzn.to/22mmlqr,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2arYRuS,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/22mlVjS,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://www.adsok.com/en/register?referral=3XYoaAZ,{u'Kaspersky': u'phishing site'},True Positive
http://amzn.to/2fByyuf,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2z4ypUr,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2e8vQLj,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/vlnVbV,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://30385716.earntalktime.com/,{u'Avira': u'malware site'},True Positive
http://amzn.to/2k7EHv1,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2iR6E9f,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2jvwgKJ,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://www.amazon.com/,{u'CLEAN MX': u'phishing site'},False Positive
https://za.gl/ref/GauravAgarwal,{u'Avira': u'malware site'},True Positive
https://cuon.io/tCgh5,{u'Sucuri SiteCheck': u'malicious site'},True Positive
https://yeheey.biz/auth/register/member?id=aizamercado6666,{u'Malwarebytes hpHosts': u'malware site'},True Positive
https://payhip.com/,{u'DNS8': u'malicious site'},True Positive
http://adf.ly/1QxUKD,{u'AutoShun': u'malicious site'},False Positive
https://www.facebook.com/profile.php?id=100013583492983,{u'Antiy-AVL': u'malicious site'},True Positive
http://www.tamooracademy.com/,{u'BitDefender': u'phishing site'},True Positive
https://za.gl/ref/sanjayb188,{u'Avira': u'malware site'},True Positive
http://ipasmillionaire.com/pre/?id=31307&tid=yout,{u'Forcepoint ThreatSeeker': u'phishing site'},True Positive
http://adf.ly/1ZJR8A,{u'AutoShun': u'malicious site'},False Positive
http://www.bit.do/mydollar,{u'AutoShun': u'malicious site'},True Positive
https://freebitco.in/?r=1918639,{u'Sucuri SiteCheck': u'malicious site'},True Positive
https://amzn.to/2KLUAV6,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://amzn.to/2s1VKVD,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://amzn.to/2s8qwwf,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://amzn.to/2KLVpgz,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://www.xyz.com/,{u'Sucuri SiteCheck': u'malicious site'},True Positive
http://adf.ly/?id=3238346,{u'AutoShun': u'malicious site'},False Positive
http://adf.ly/IYCHa,{u'AutoShun': u'malicious site'},False Positive
http://www.drostdesigns.com/youtube-hijack,{u'Sucuri SiteCheck': u'malicious site'},True Positive
http://www.bit.do/20ads,{u'AutoShun': u'malicious site'},True Positive
http://www.fiverr.com/,{u'CLEAN MX': u'phishing site'},True Positive
http://amzn.to/2FaJFGa,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2F8gUKa,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2H2PhyM,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2CWDLTa,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://adf.ly/1QxZbn,{u'AutoShun': u'malicious site'},False Positive
http://amzn.to/2vf0Ssu,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2v4INNk,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://www.bit.do/earnbit,{u'AutoShun': u'malicious site'},True Positive
https://freebitco.in/?r=2390321,{u'Sucuri SiteCheck': u'malicious site'},True Positive
https://browser.mcent.com/r/nvauow9mSPWSMvjV3uDfag,{u'Avira': u'malware site'},True Positive
http://amzn.to/2jfpdVx,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2kCz1xO,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2kCFBUU,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2lxDG3f,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1I9IjYd,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1QImkuq,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1QImDp4,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1QImSk9,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://ahumoney.site/9133823455632/,{u'Kaspersky': u'phishing site'},True Positive
http://10kwithscott.com/Who-Is-Scott,{u'Emsisoft': u'phishing site'},True Positive
http://adf.ly/8Gu5N,{u'AutoShun': u'malicious site'},False Positive
