Channel Hyperlink: (Fraudulent Videos, Total Videos, Percentage Fraudulent)

https://www.youtube.com/channel/UCkA4XNelwhzopHkVvYTOgXQ: (50, 50, 100.0)
https://www.youtube.com/channel/UCLc7azzf33Vi9uKI_j1PFsg: (49, 50, 98.0)
https://www.youtube.com/channel/UCe7ijq60VgIkRsb9pTlYXdw: (41, 50, 82.0)
https://www.youtube.com/channel/UCdFLpycxqV29IShcccYWCfQ: (1, 2, 50.0)
https://www.youtube.com/channel/UCR9HQmcKvLOxTKHDraXVL_A: (1, 2, 50.0)
https://www.youtube.com/channel/UCXPGTspMlpL_o0Ys51PuzSw: (14, 14, 100.0)
https://www.youtube.com/channel/UC29S-0uvrXjW4mQ5SRVUhaQ: (7, 8, 87.5)
https://www.youtube.com/channel/UClJWt3Qm1482-6hteliV26A: (1, 1, 100.0)
https://www.youtube.com/channel/UC1HlxQObFheA6fW-xfXeY1g: (1, 1, 100.0)
https://www.youtube.com/channel/UC7egxaEB13HNxjd_U08Xibg: (2, 4, 50.0)
https://www.youtube.com/channel/UCZMFJ5xqrihVch2r-ujCDfA: (50, 50, 100.0)
https://www.youtube.com/channel/UCrWKch4HUicyIPXxo-m13zA: (6, 9, 66.66666666666666)
https://www.youtube.com/channel/UCbqM5sDbVD3EztlKzlN97QQ: (16, 21, 76.19047619047619)
https://www.youtube.com/channel/UCOarpWDzP6dmzKFKhztDByw: (7, 14, 50.0)
https://www.youtube.com/channel/UCwlQGTU0AuU-i09_HDTetew: (41, 43, 95.34883720930233)
https://www.youtube.com/channel/UC29st7hpURX7Q--ikOqSqdw: (1, 1, 100.0)
https://www.youtube.com/channel/UC8UjfkieAKmUv027rB-sYBw: (28, 29, 96.55172413793103)
https://www.youtube.com/channel/UCAoL4nstsJoapsNQx6mzW3g: (1, 8, 12.5)
https://www.youtube.com/channel/UCVU-o-HBt11RF9weRbKu7xQ: (1, 1, 100.0)
https://www.youtube.com/channel/UCGwzx1ATArdYJWo4YNe5-dQ: (2, 2, 100.0)
https://www.youtube.com/channel/UCjnEMqgV8z5wBJp2KTct1uQ: (7, 7, 100.0)
https://www.youtube.com/channel/UC0aScUpD2eIFPRPbjcbapIg: (1, 1, 100.0)
https://www.youtube.com/channel/UCXkLx1Do1pP0FyoXLrTH0hg: (3, 4, 75.0)
https://www.youtube.com/channel/UCRH4JfHpyHJnMWrUVxMHztw: (1, 1, 100.0)
